subject	activityname	Mean-TimeBodyGyroJerkStandardDiv-Y	Mean-TimeBodyGyroJerkStandardDiv-Z	Mean-TimeBodyAccelerationMagnitudeMean	Mean-TimeBodyAccelerationMagnitudeStandardDiv	Mean-TimeGravityAccelerationMagnitudeMean	Mean-TimeGravityAccelerationMagnitudeStandardDiv	Mean-TimeBodyAccelerationJerkMagnitudeMean	Mean-TimeBodyAccelerationJerkMagnitudeStandardDiv	Mean-TimeBodyGyroMagnitudeMean	Mean-TimeBodyGyroMagnitudeStandardDiv	Mean-TimeBodyGyroJerkMagnitudeMean	Mean-TimeBodyGyroJerkMagnitudeStandardDiv	Mean-FreqBodyAccelerationMean-X	Mean-FreqBodyAccelerationMean-Y	Mean-FreqBodyAccelerationMean-Z	Mean-FreqBodyAccelerationStandardDiv-X	Mean-FreqBodyAccelerationStandardDiv-Y	Mean-FreqBodyAccelerationStandardDiv-Z	Mean-FreqBodyAccelerationJerkMean-X	Mean-FreqBodyAccelerationJerkMean-Y	Mean-FreqBodyAccelerationJerkMean-Z	Mean-FreqBodyAccelerationJerkStandardDiv-X	Mean-FreqBodyAccelerationJerkStandardDiv-Y	Mean-FreqBodyAccelerationJerkStandardDiv-Z	Mean-FreqBodyGyroMean-X	Mean-FreqBodyGyroMean-Y	Mean-FreqBodyGyroMean-Z	Mean-FreqBodyGyroStandardDiv-X	Mean-FreqBodyGyroStandardDiv-Y	Mean-FreqBodyGyroStandardDiv-Z	Mean-FreqBodyAccelerationMagnitudeMean	Mean-FreqBodyAccelerationMagnitudeStandardDiv	Mean-FreqBodyBodyAccelerationJerkMagnitudeMean	Mean-FreqBodyBodyAccelerationJerkMagnitudeStandardDiv	Mean-FreqBodyBodyGyroMagnitudeMean	Mean-FreqBodyBodyGyroMagnitudeStandardDiv	Mean-FreqBodyBodyGyroJerkMagnitudeMean	Mean-FreqBodyBodyGyroJerkMagnitudeStandardDiv
1	LAYING	-0.9679072436	-0.9577901596	-0.8419291525	-0.79514486386	-0.8419291525	-0.79514486386	-0.9543962646	-0.9282456284	-0.874759548	-0.81901016976	-0.96346103	-0.9358409828	-0.9390990524	-0.86706520518	-0.8826668762	-0.9244374346	-0.8336255561	-0.81289155944	-0.9570738838	-0.9224626098	-0.9480609042	-0.9641607086	-0.9322178704	-0.9605869872	-0.850249174586	-0.9521914948	-0.909302721	-0.8822964508	-0.9512320494	-0.9165825082	-0.8617676481	-0.7983009404	-0.9333003608	-0.9218039756	-0.8621901854	-0.82431943968	-0.9423669466	-0.9326606676
2	LAYING	-0.989567537916667	-0.98803582125	-0.977435485208333	-0.972873912916667	-0.977435485208333	-0.972873912916667	-0.987741696041667	-0.98551807625	-0.950011569583333	-0.961164053958333	-0.991767074166667	-0.989718095208333	-0.976725059791667	-0.979800877916667	-0.984380981875	-0.973246482083333	-0.981025105625	-0.984792185	-0.985813630833333	-0.982768250416667	-0.986197134583333	-0.987250255833333	-0.984987392916667	-0.989345368541667	-0.9864311425	-0.983321635416667	-0.9626718875	-0.988860685833333	-0.981910616458333	-0.963174222291667	-0.975110196458333	-0.975121387916667	-0.985374114791667	-0.984568489166667	-0.972112972708333	-0.96109837875	-0.990248702291667	-0.989492660416667
3	LAYING	-0.986762741935484	-0.983338279516129	-0.972791346129032	-0.964218176451613	-0.972791346129032	-0.964218176451613	-0.979484593387097	-0.976121297903226	-0.951564751451613	-0.954275110967742	-0.98671362516129	-0.983139255645161	-0.980665609032258	-0.961169982903226	-0.968332141612903	-0.983691129032258	-0.964094604193548	-0.96327908016129	-0.980513202258064	-0.968752113709677	-0.979122344354839	-0.983122615967742	-0.971044012741936	-0.983711904677419	-0.970167262903226	-0.978099682258065	-0.962341960806452	-0.975986433709677	-0.977032495483871	-0.967256854193548	-0.96552427516129	-0.968350217419355	-0.975949597903226	-0.975305377903226	-0.96458672483871	-0.955441855806452	-0.984278251290323	-0.982568158064516
4	LAYING	-0.986855629814815	-0.983965359814815	-0.954557603148148	-0.931292216611111	-0.954557603148148	-0.931292216611111	-0.970095771666667	-0.960786430740741	-0.930236462592593	-0.947031781666667	-0.985068502037037	-0.982698213703704	-0.958802077592593	-0.938883374444444	-0.967504278888889	-0.952464881481481	-0.946380971111111	-0.962154454259259	-0.978542457407407	-0.943969987222222	-0.975383329444444	-0.980079292592593	-0.944366881666667	-0.980261236296296	-0.967203736481482	-0.972187839074074	-0.961479262592593	-0.975094739444444	-0.956182500185185	-0.965807466666667	-0.939389701296296	-0.937187975962963	-0.96228712537037	-0.958037119259259	-0.961556660185185	-0.947100325185185	-0.983609073333333	-0.982543631666667
5	LAYING	-0.983759479230769	-0.989679592307692	-0.966777882884615	-0.958612786346154	-0.966777882884615	-0.958612786346154	-0.980141253846154	-0.977477145384615	-0.946938300576923	-0.958287921923077	-0.9864194225	-0.98377138	-0.968741678461538	-0.965419520961538	-0.977007724615385	-0.964953893653846	-0.972909186730769	-0.965882191153846	-0.982689657115385	-0.965328566153846	-0.983250309423077	-0.985625270384615	-0.96624258	-0.986135599038461	-0.975797491730769	-0.978249645769231	-0.963202948461538	-0.980705769807692	-0.977257800961538	-0.963305738076923	-0.962234984038462	-0.962525369423077	-0.977356379807692	-0.976381934807692	-0.968257068846154	-0.959263063269231	-0.984618025769231	-0.983434493076923
6	LAYING	-0.958628819649123	-0.959579071578947	-0.918878850824561	-0.897326245964912	-0.918878850824561	-0.897326245964912	-0.954750504912281	-0.950341934385965	-0.908980174736842	-0.920914497017544	-0.955645738245614	-0.953157001578947	-0.939114254210526	-0.923706791403509	-0.938044912280702	-0.932462941461404	-0.929711219929825	-0.924004748421053	-0.967072436842105	-0.936043420175439	-0.954425844736842	-0.968619159473684	-0.935717452807018	-0.963567540877193	-0.935439769649123	-0.941771544385965	-0.932636612807018	-0.962164978596491	-0.945365097894737	-0.947136774385965	-0.91235165222807	-0.905373979824561	-0.948655471052632	-0.951552664035088	-0.930153639473684	-0.928694890175439	-0.953695957368421	-0.955504654561404
7	LAYING	-0.976483727307692	-0.988871878269231	-0.936392023846154	-0.907039513153846	-0.936392023846154	-0.907039513153846	-0.980127239615385	-0.967310932307692	-0.915793634807692	-0.918662459038462	-0.983008829038462	-0.971205137884615	-0.953424245576923	-0.942193953846154	-0.958611644615385	-0.931120580576923	-0.922917902307692	-0.953380646346154	-0.980393046923077	-0.972531648846154	-0.969524977692308	-0.983560175384615	-0.975886145	-0.975072995192308	-0.953684547692308	-0.957570207692308	-0.956905310961538	-0.962348254423077	-0.939727873653846	-0.9588764125	-0.927976880634615	-0.910542462919231	-0.968066259230769	-0.965359228076923	-0.941130719230769	-0.918892518653846	-0.974117912115385	-0.969403035384615
8	LAYING	-0.974186451851852	-0.987601203703704	-0.935308633888889	-0.91325033	-0.935308633888889	-0.91325033	-0.97314748962963	-0.962954517222222	-0.924253348518518	-0.932470764444444	-0.978438191296296	-0.969029111666667	-0.953538563888889	-0.951816663703704	-0.944269514074074	-0.940125298333333	-0.931236756962963	-0.931146497518519	-0.973110596111111	-0.975877437407407	-0.962111136666667	-0.975959911481481	-0.979170881666667	-0.968699222962963	-0.957903886111111	-0.957411160185185	-0.967461239074074	-0.967846360740741	-0.950316470925926	-0.970671966481481	-0.932279645518518	-0.917257979425926	-0.961792852407407	-0.963791094259259	-0.944528950555556	-0.93678697	-0.968403945925926	-0.971793279814815
9	LAYING	-0.9621702422	-0.9770761602	-0.9308684376	-0.91512680016	-0.9308684376	-0.91512680016	-0.9633745492	-0.9550268052	-0.9071250998	-0.8985578738	-0.964524819	-0.9528015598	-0.946865494	-0.9343665984	-0.9459190006	-0.9409810272	-0.9128367508	-0.9419711636	-0.964304065	-0.9640828062	-0.955909215	-0.9686013042	-0.966634136	-0.9597147176	-0.930297921	-0.9345796594	-0.9598150092	-0.9463891504	-0.9231319366	-0.965686312	-0.9266042952	-0.921929738394	-0.9543205856	-0.9550947122	-0.9186053356	-0.9034005814	-0.9558062546	-0.9522904702
10	LAYING	-0.966621040344828	-0.983949302758621	-0.956781819655172	-0.940301654482759	-0.956781819655172	-0.940301654482759	-0.976234435172414	-0.967556980689655	-0.937590998793103	-0.927471165517241	-0.970830848965517	-0.959632931551724	-0.96918420862069	-0.954341849137931	-0.964300845172414	-0.96796803862069	-0.946229148258621	-0.959813667810345	-0.979014668793104	-0.968039173793103	-0.972592212931034	-0.978904364137931	-0.968120692241379	-0.978582339137931	-0.953793912068965	-0.954670034482759	-0.969755777241379	-0.96454456637931	-0.953453496551724	-0.975298797068965	-0.950848109137931	-0.944304974655172	-0.968561121551724	-0.965377553448276	-0.937692642586207	-0.933701315344828	-0.960976821551724	-0.960772875517241
11	LAYING	-0.990845724736842	-0.986549063333333	-0.980621180175439	-0.972891829473684	-0.980621180175439	-0.972891829473684	-0.983330628421053	-0.976504858596491	-0.952523752105263	-0.954713182807018	-0.990641248245614	-0.984476476666667	-0.983801365614035	-0.971403935438596	-0.973576812807018	-0.985322211929825	-0.973589287368421	-0.971668077017544	-0.984884874385965	-0.973882496666667	-0.979564844210526	-0.987122678245614	-0.973486716315789	-0.983302949122807	-0.97618747122807	-0.982640271929825	-0.961434420701754	-0.982424585438596	-0.982660631754386	-0.963183902982456	-0.973994004561404	-0.976037695614035	-0.976940774561403	-0.975126531403509	-0.967093356491228	-0.954849053508772	-0.985978837192982	-0.983569468245614
